Gene,ERR2593198.bam,ERR3374021.bam,SRR10572661.bam,SRR16796949.bam,SRR3401747.bam,SRR3401748.bam,SRR3401749.bam,SRR3401750.bam,ERR4184070.bam,ERR4184071.bam,ERR4184072.bam,ERR4184073.bam,SRR3161766.bam,SRR3161767.bam,SRR3161768.bam,SRR3161769.bam,SRR12774953.bam,RCB003.Brain.bam,RCS001.Spleen.bam,SRR12774963.bam
Bmp4_1,0,0,0,0,8,2,7,12,3,1,1,2,0,0,1,2,83,79,137,165
Cdkn3_1,2228,3659,5308,5770,3085,1671,1629,844,5542,4244,3395,3823,2287,2004,2107,1603,88,72,5013,132
Cnih1_1,2601,2801,6317,9241,4160,5624,3322,2869,5019,3877,3503,3630,2842,2278,2534,2365,508,765,796,501
Gmfb_1,3811,3556,13023,14418,2616,3486,2891,2701,9321,7367,7110,7867,3540,2594,2754,3224,718,2839,1361,1544
Cgrrf1_1,657,638,1551,1548,599,566,919,830,1007,803,1057,1184,397,401,391,372,206,515,354,336
Samd4a_1,1152,823,2630,1677,921,1053,634,634,2721,2175,1023,1132,481,357,342,433,595,880,330,801
Gch1_1,1420,2223,3245,3185,1223,1920,1709,1871,1119,857,4395,4863,1759,1290,1317,1515,53,55,767,270
Wdhd1_1,2239,1335,1568,1943,1305,603,1101,686,4989,3671,1854,2005,781,619,553,622,184,80,1792,207
Socs4_1,814,496,1849,2028,935,834,629,659,1815,1450,1333,1451,521,400,390,422,327,161,729,787
Mapk1ip1l_1,2196,2879,4286,2226,2786,2342,2788,2760,7209,5685,4712,4951,2283,1943,1960,2116,672,548,1284,770
Lgals3_1,7344,7758,21666,12712,2915,7459,1837,3130,10291,8209,14087,15257,15311,14326,14801,17245,587,15,401,187
Dlgap5_1,2823,3565,3742,4311,4136,1781,1643,1145,7556,5721,5637,6099,3311,2739,2584,2011,155,35,4023,253
Fbxo34_1,838,640,1861,969,771,509,830,829,2151,1647,1616,1706,583,484,461,549,320,1290,1176,420
Atg14_1,726,426,1593,1128,550,504,1049,1305,1332,1066,924,910,443,370,319,423,362,489,575,334
Ktn1_1,5996,4042,9677,5387,4474,3549,4881,5885,10022,7885,5830,6410,3150,2183,2242,2541,1840,1841,1775,1664
LOC100768260_1,835,813,2134,1790,815,673,786,894,676,478,1007,1051,309,220,244,231,577,371,144,278
Tmem260_1,284,308,385,913,680,832,1319,1409,662,486,814,905,184,173,153,184,433,342,237,305
Otx2_1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0
Exoc5_1,3967,2623,7909,8164,2836,1827,2253,2340,7369,5805,5806,6419,2306,1678,1781,1959,605,1084,1255,946
Ap5m1_2,468,311,690,695,336,290,360,350,787,632,955,1086,339,263,274,273,182,154,318,352
Naa30_1,1081,902,2741,2029,790,715,957,882,3075,2284,2189,2501,787,603,674,654,507,518,445,503
Ccdc198_1,0,0,4,1,3,6,46,63,0,2,0,0,0,0,0,1,8,1,1,0
Slc35f4_1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,121,0,0
LOC100772688_1,0,0,0,0,2,0,11,33,0,0,2,0,0,0,0,0,1084,387,2,0
LOC100752473_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100754555_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100754268_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100752180_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100753970_1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC100753673_1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC100753077_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100751895_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100752775_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100769725_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100768878_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC100768582_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100768298_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100768007_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100769441_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100769156_1,1,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,7,1,10,42
LOC100769653_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100751879_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC100756567_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100752163_1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC100756859_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100752760_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100752456_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttc5_1,885,1003,2513,2959,1116,1020,1135,1234,1287,1063,1566,1745,590,617,548,561,330,566,774,481
Ccnb1ip1_1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Parp2_1,814,728,755,1426,554,409,537,437,1966,1598,818,858,392,317,316,350,103,128,1087,146
Tep1_1,467,1819,4018,860,1377,843,871,798,3553,2751,3664,4070,1540,1403,1156,1576,589,222,576,403
Klhl33_1,12,19,83,47,5,7,26,11,63,59,76,93,10,4,6,7,22,201,15,14
Osgep_1,975,849,1804,2829,920,815,1522,1501,2044,1558,1716,1657,667,641,521,555,204,393,664,300
Apex1_1,2884,2483,3302,2989,2794,1569,1335,1373,3496,2771,1219,1171,1168,1007,1036,1008,264,505,1066,206
Pip4p1_1,521,554,1489,931,978,666,2085,2733,1610,1175,1483,1473,1099,901,741,1054,276,845,473,458
Pnp_1,1956,1853,3942,3427,2719,2771,3651,3236,3156,2351,1963,2155,1912,1848,1580,1669,738,339,6514,1135
Rnase10_1,0,0,0,0,0,2,4,1,1,0,2,0,0,0,0,0,0,0,8,5
Rnase9_1,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Rnase11_1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0
Rnase12_1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
LOC100758593_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0
Rnase4_1,178,334,933,778,1211,3333,614,1424,440,305,970,1080,855,696,604,1004,685,579,196,128
Ang_1,7,34,203,87,119,358,63,87,34,32,51,67,57,59,55,69,57,5,7,10
Rnase6_1,0,2,1,0,20,17,20,72,4,3,7,9,4,3,4,1,17,8,219,146
LOC100758879_1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1,3,0
Rnase1_1,0,0,3,3,3,0,1,20,0,0,1,1,0,0,0,0,14,28,5,1580
Ear7_1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,35,1,8,5
Ear11_1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0
Ear10_1,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,14,21,1,16
Mettl17_1,433,481,632,491,482,340,502,543,738,596,516,520,240,288,201,256,168,350,650,202
Slc39a2_1,42,16,186,75,44,21,25,17,80,60,58,59,41,23,10,19,9,2,1,3
Ndrg2_1,8,4,245,78,95,27,78,56,5,3,5,6,3,3,2,2,1370,16903,356,240
Tppp2_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,2,0
Rnase13_1,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,1,0
LOC113832204_1,0,1,2,18,0,2,0,2,5,2,17,26,7,4,0,2,0,0,1,0
Arhgef40_1,2220,2364,4235,1693,4304,2180,895,925,4776,3659,3969,4456,1636,1846,1757,2094,1061,940,3131,206
Znf219_1,576,777,2236,820,1139,1246,555,896,2776,2128,3792,4053,429,477,411,510,800,605,632,205
Tmem253_1,157,23,465,100,71,33,30,54,313,233,266,291,72,51,21,77,90,31,51,71
LOC100752638_1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpc_1,6701,11218,9500,18280,10500,9518,12374,13354,13851,10592,10812,12001,6343,5056,4897,5115,1699,3935,7875,2231
Rpgrip1_1,20,5,49,17,17,26,31,26,55,50,64,60,6,3,6,15,117,38,11,9
Supt16h_1,6626,7570,10597,5723,7344,3886,4218,4089,23198,17991,12502,13689,4595,3429,3365,3499,1126,1743,5135,1413
Chd8_1,3037,3006,12406,2783,3320,2167,3498,3293,13763,10808,11639,13129,2875,2252,1845,2538,2052,2151,3205,2776
Rab2b_1,587,605,1336,1867,747,966,1732,1451,1567,1233,1406,1691,528,390,387,519,127,733,307,145
Tox4_1,1995,2467,2661,991,2911,2185,4197,3686,7768,6129,5834,6297,2569,2194,2033,2251,793,1123,1484,844
Mettl3_1,1102,750,1292,940,1165,1225,1155,1011,1671,1372,976,1192,898,653,682,757,256,392,619,426
Sall2_1,0,0,9,2,0,0,0,1,7,4,9,1,0,0,0,0,212,1324,66,52
LOC100773730_1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
LOC100773439_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100757237_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOC100773156_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100756949_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100772866_1,1,1,2,906,2,1,1,1,488,357,469,464,0,0,0,0,1,1,0,0
LOC100756661_1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LOC103160230_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC103160231_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100756074_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC113832181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100772278_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100754904_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100754327_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100753737_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100762272_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100762570_1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC100762857_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100763148_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100765883_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100765597_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100765303_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100765015_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100764722_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC100764425_1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107977271_1,1,0,1,0,16,72,18,24,4,0,0,1,0,0,0,0,0,0,0,0
LOC100762974_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100763263_1,0,0,0,0,4,5,20,28,0,1,0,0,0,0,0,0,0,0,0,0
LOC113832175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100754612_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC113832236,0,0,0,88,0,1,0,0,2,3,1,0,0,0,0,0,14,0,0,0
LOC113832237,0,0,1,88,2,0,1,2,5,4,7,5,0,0,0,1,7,0,0,2
LOC113832238,0,0,0,1,3,5,0,2,2,2,1,1,0,0,0,0,0,1,0,0
Slc5a7_1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,61,3,0
St6gal2_1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,264,574,0,2
Uxs1_1,542,1099,622,804,1275,1415,1215,956,947,764,844,886,868,774,726,864,300,855,282,114
CUNH2orf40_1,0,0,13,37,7,15,6,5,0,0,2,0,0,0,0,0,104,91,6,1
Nck2_1,1551,1374,3574,3914,988,657,1207,1252,3034,2588,2682,3040,713,901,910,998,419,468,820,529
Fhl2_1,520,1073,3392,2177,570,787,224,288,3016,2253,2140,2317,585,523,492,630,253,298,167,84
C1H2orf49_1,634,640,1729,2122,775,709,990,873,1750,1366,1270,1331,501,431,375,405,250,543,408,293
Tgfbrap1_1,1009,878,2141,1389,811,702,776,821,1985,1416,1989,2258,1139,1058,1025,1218,456,717,662,521
Gpr45_1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,210,2,1
Mrps9_1,2000,1783,2771,1848,893,797,802,668,1955,1427,1465,1515,550,604,550,586,182,421,682,381
Tmem182_1,1,3,20,9,6,13,13,9,12,17,33,39,3,1,1,7,6,13,1,0
Mfsd9_1,828,542,1386,1207,570,515,833,795,1012,744,797,885,424,311,293,331,244,252,129,142
Slc9a2_1,2,0,4,0,0,0,2,2,0,4,6,6,0,0,0,0,10,229,6,4
Slc9a4_1,0,0,9,0,0,3,9,18,2,2,0,2,0,0,0,0,10,399,0,1
Il18rap_1,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,12,15,155,422
Il18r1_1,1,1,2,2,1,3,0,8,0,0,1,1,0,0,0,0,29,0,58,91
Il1rl1_1,843,141,438,144,387,97,29,27,399,366,155,149,1674,1198,1183,1345,52,7,22,36
Il1rl2_1,38,40,111,113,148,237,169,166,60,34,124,139,82,62,63,81,6,1,5,3
